title,institute,department,label
MS in Individualized Genomics and Health,Johns Hopkins University,Advanced Academic Programs,"Online,On Campus,Part Time,Full Time"
Accounting (Online MSA),Utica College,Masters Programs,"Online,Full Time"
Technology Innovation Management and Entrepreneurship MS,Rochester Institute of Technology USA,Masters Programs," Institution Profile,On Campus,Part Time,Full Time"
MSc in Biomedical Informatics,New York University School of Medicine,School of Medicine," Institution Profile,On Campus,Part Time,Full Time"
MS in Computer Science,Binghamton University,Thomas J. Watson School of Engineering and Applied Science,"Video(s),Student Profile(s),On Campus,Full Time"
MS in Systems Science,Binghamton University,Thomas J. Watson School of Engineering and Applied Science,"Video(s),On Campus,Full Time"
M.S. Exercise and Sport Science,West Chester University,Graduate Programs,"On Campus,Full Time"
M.S. Exercise and Sport Physiology with a Concentration in Athletic Training,West Chester University,Graduate Programs,Full Time
M.S. in Applied and Computational Mathematics,West Chester University,Graduate Programs,"On Campus,Full Time"
Public and Urban Policy (MS),The New School,Schools of Public Engagement (SPE)," Institution Profile,Video(s),On Campus,Part Time,Full Time"
Communication Design,The New School,Parsons School of Design," Institution Profile,On Campus,Part Time,Full Time"
Occupational Therapy - MS,New York Institute of Technology,Health," Institution Profile,On Campus,Full Time"
School Counseling - MS,New York Institute of Technology,Education," Institution Profile,On Campus,Part Time,Full Time"
Master of Science (MS) in Applied Life Sciences,Keck Graduate Institute,Henry E. Riggs School of Applied Life Sciences,"On Campus,Full Time"
Master of Science in Translational Medicine (MSTM),Keck Graduate Institute,Henry E. Riggs School of Applied Life Sciences,"On Campus,Full Time"
Physics MS,Rochester Institute of Technology USA,Masters Programs," Institution Profile,Video(s),Student Profile(s),On Campus,Full Time"
Behavior Analysis (MS),Simmons University,Graduate Studies,"On Campus,Full Time"
MS in Geography,George Washington University,Columbian College of Arts and Sciences," Institution Profile,Video(s),Student Profile(s),On Campus,Part Time,Full Time"
MS in Physics,George Washington University,Columbian College of Arts and Sciences," Institution Profile,On Campus,Part Time,Full Time"
Communication Sciences and Disorders (M.S.),St. Cloud State University,Postgraduate Programs,"Video(s),On Campus,Full Time"
Global Supply Chain Management MS,Rochester Institute of Technology USA,Masters Programs," Institution Profile,On Campus,Part Time,Full Time"
Sustainable Systems MS,Rochester Institute of Technology USA,Masters Programs," Institution Profile,Video(s),Student Profile(s),Full Time"
Hospitality and Tourism Management MS,Rochester Institute of Technology USA,Masters Programs," Institution Profile,Video(s),Student Profile(s),Part Time,Full Time"
