title,url,school,degree,pace,duration,based,point_duration
MSc in Business Analytics- STEM,https://www.masterstudies.com/MSc-in-Business-Analytics-STEM/USA/BUGSB/,Bentley University - McCallum Graduate School of Business,Master,Full-time                                                     Part-time,3-4Semesters,Campus,13.125
Master of Science in Business Analytics (MSBA),https://www.masterstudies.com/Master-of-Science-in-Business-Analytics-(MSBA)/USA/Golden-Gate-University/,Golden Gate University,MSc,Full-time                                                     Part-time,4-5Semesters,Campus Online,16.875
M.S. Data Analytics and Information Systems,https://www.masterstudies.com/M.S.-Data-Analytics-and-Information-Systems/USA/Texas-State-University/,Texas State University,MSc,Full-time,2Years,Campus Online,24.0
M.S. Marketing Research and Analysis,https://www.masterstudies.com/M.S.-Marketing-Research-and-Analysis/USA/Texas-State-University/,Texas State University,MSc,Full-time,2Years,Campus,24.0
Master of Science in Data Analytics,https://www.masterstudies.com/Master-of-Science-in-Data-Analytics/USA/University-of-Indianapolis-School-of-Business/,"University of Indianapolis, School of Business",MSc,Full-time                                                     Part-time,5Semesters,Campus Online,18.75
MS in Data Analytics,https://www.masterstudies.com/MS-in-Data-Analytics/USA/Clarkson-University-Graduate-School/,Clarkson University Graduate School,MSc,Full-time                                                     Part-time,12-24Months,Campus Online,18.0
Master of Science in Civic Analytics,https://www.masterstudies.com/Master-of-Science-in-Civic-Analytics/USA/University-of-Illinois-at-Chicago-College-of-Urban-Planning-and-Public-Affairs/,University of Illinois at Chicago College of Urban Planning and Public Affairs,MSc,Full-time,2Years,Campus,24.0
MSc in Data Science,https://www.masterstudies.com/MSc-in-Data-Science/USA/University-of-New-Haven/,University of New Haven,MSc,Full-time                                                     Part-time,18-48Years,Campus,396.0
MSc in Business Analytics and Information Management,https://www.masterstudies.com/MSc-in-Business-Analytics-and-Information-Management/USA/University-of-Delaware-Alfred-Lerner-College-of-Business-and-Economics/,"University of Delaware, Alfred Lerner College of Business & Economics",MSc,Full-time,18Months,Campus,18.0
"Data Science, M.S.",https://www.masterstudies.com/Data-Science-M.S./USA/New-York-Institute-of-Technology-(NYIT)/,New York Institute of Technology (NYIT),MSc,Full-time,1-2Years,Campus,18.0
Master of Science in Data Analytics and Strategic Business Intelligence,https://www.masterstudies.com/Master-of-Science-in-Data-Analytics-and-Strategic-Business-Intelligence/USA/Long-Island-University-Post-Campus/,"Long Island University, Post Campus",MSc,Full-time                                                     Part-time,1Years,Campus,12.0
Master in Program Evaluation and Data Analytics,https://www.masterstudies.com/Master-in-Program-Evaluation-and-Data-Analytics/USA/Arizona-State-University/,Arizona State University,Master,Full-time                                                     Part-time,4Semesters,Campus Online,15.0
MS in Data Analytics and Visualization,https://www.masterstudies.com/MS-in-Data-Analytics-and-Visualization/USA/Yeshiva-University/,Yeshiva University,MSc,Full-time                                                     Part-time,12-24Months,Campus Online,18.0
Master of Science in Financial Analysis - STEM Program,https://www.masterstudies.com/Master-of-Science-in-Financial-Analysis-STEM-Program/USA/USF-School-of-Management/,University of San Francisco - School of Management,MSc,Full-time                                                     Part-time,18-22Months,Campus,20.0
Master in Marketing Intelligence,https://www.masterstudies.com/Master-in-Marketing-Intelligence/USA/Towson-CBE/,Towson University - College of Business & Economics,MSc,Full-time,2Years,Campus,24.0
MS in Business Analytics,https://www.masterstudies.com/MS-in-Business-Analytics/USA/Leavey-School-of-Business/,Leavey School of Business,MSc,Full-time,15Months,Campus,15.0
MS in Finance & Analytics,https://www.masterstudies.com/MS-in-Finance-and-Analytics/USA/Leavey-School-of-Business/,Leavey School of Business,MSc,Full-time                                                     Part-time,10-24Months,Campus,17.0
MSc in Data Science and Business Analytics,https://www.masterstudies.com/MSc-in-Data-Science-and-Business-Analytics/Italy/University-Bocconi/,University Bocconi,MSc,Full-time,2Years,Campus,24.0
MSc in Politics and Policy Analysis,https://www.masterstudies.com/MSc-in-Politics-and-Policy-Analysis/Italy/University-Bocconi/,University Bocconi,MSc,Full-time,2Years,Campus,24.0
Master of Science in Business Analytics / Information Systems (MS/BAIS),https://www.masterstudies.com/Master-of-Science-in-Business-Analytics-Information-Systems-(MSBAIS)/USA/University-of-South-Florida/,University of South Florida,MSc,Full-time                                                     Part-time,1-2Years,Campus,18.0
Master of Data Science,https://www.masterstudies.com/Master-of-Data-Science/USA/McGovern-Education-Group/,McGovern Education Group,Master,Full-time,1-2Years,Campus,18.0
Master of Science in Financial Analysis,https://www.masterstudies.com/Master-of-Science-in-Financial-Analysis/USA/Gordon-College/,Gordon College,MSc,Full-time                                                     Part-time,1-2Years,Campus,18.0
