url,compulsory course,course outcome or overview,topics covered
https://catalog.upenn.edu/graduate/programs/social-policy-data-analytics-mssp/,Practical Programming for Data Science,"This course familiarizes students with no prior programming experience with the core concepts of programming and the practice of software development for data-intensive applications in industry and government. After this course, students will be comfortable (1) writing code to save and load from files and spreadsheets into basic data structures like strings, lists, and maps; (2) manipulating data with code to perform tasks like generating aggregate statistics and filtering data into subsets; (3) effectively communicating findings from interactive, exploratory programming with others; and (4) working with technical teams, using best practices of software development when building line- of-business applications.",
https://catalog.upenn.edu/graduate/programs/social-policy-data-analytics-mssp/,Practical Machine Learning Methods,"This course prepares students with no background in machine learning or data science to use tools from those fields effectively in applied contexts. Using GUI-based software - or optionally, by programming with libraries - students will build skills including (1) feature representations of spreadsheet-based or text datasets; (2) training classification and regression models for prediction tasks; (3) evaluation of machine learning model accuracy and error analysis; and (4) reasoning about predictive models and making tradeoffs like bias vs. variance, granularity and annotation complexity in labeled training data, and the ethical application of predictive modeling to human-centered data.",
https://catalog.upenn.edu/graduate/programs/social-policy-data-analytics-mssp/,"Policy: Analysis of Issues, Strategy and Process","Policy analysis requires an understanding of social problems/social issues and the processes by which policy is developed and implemented. Critical skills in many policy frameworks include: problem definition and analysis, review of relevant research, identification of possible actions, implementation and evaluation, and fiscal analysis. Competency in written and oral communication is also essential. To develop these and related skills, this course utilizes as a base a dynamic social problem analysis framework that addresses issues of equity, equality and adequacy. It also examines multiple theoretical and analytical perspectives. Through the review of contemporary and historical social policy debates and provisions, selected case examples and policy briefs, this course provides students with an understanding of the policy roles of the legislative and executive branches of government, including goal setting, policy rulemaking and enactment, allocation of resources, financing, regulation, and implementation. The policy process at state and local levels of government will also be addressed. The primary focus is on U.S. policy although global policies will be discussed when relevant.",
https://catalog.upenn.edu/graduate/programs/social-policy-data-analytics-mssp/,Research and Evaluation Design,"Research and Evaluation Design introduces social research methods in the context of social policy and program evaluation. The course provides a conceptual and practical understanding in the design of experimental, quasi-experimental, and non-experimental research and in the application of quantitative and qualitative methods. Students learn about the application of the research process and skills in all phases of assessing a social policy and developing a social program, including needs assessment, implementation analysis, and evaluation of policy or program effectiveness. Students learn to be critical and informed consumers of research and to apply guidelines of research ethics in social policy settings.",
https://catalog.upenn.edu/graduate/programs/social-policy-data-analytics-mssp/,Law and Social Policy,"This course introduces students to the basics of the American legal system, focusing on the interplay between litigation and social policy. Students will learn how law, and particularly case law, is made, how to read case law and evaluate precedent, legal reasoning and argument. This course will utilize various teaching methods including introduction to the ""Socratic"" lecturing method which is frequently utilized in the study of law. Students will also study the structure of court systems at both state and federal levels as well as the litigation process and the role of law and courts in shaping and addressing social policy issues. Students will also learn the basics of several areas of substantive law, with an eye toward consideration of how that law has been, and can be, used to effect social change.",
https://catalog.upenn.edu/graduate/programs/social-policy-data-analytics-mssp/,Economics for Social Policy,"Economics allows us to determine the costs and benefits of social policies like cash benefits, unemployment insurance, health insurance, pensions, education, etc. Policies typically affect the behavior of agents like individuals, families and firms, and we have to take these reactions into account when analyzing policy. Economics allows us to predict how policy is likely to affect behavior by understanding how the policy changes individuals' decisions, and what collective outcomes these myriad individual decisions bring about. For example, a universal basic income allows individuals to sustain themselves and their families when they are not working. At the same time, such guaranteed income has the potential to discourage people from looking for a job. If enough people are discouraged from looking for a job, employment in the economy will decrease, leading to lower production and lower tax revenues for the government. Policy makers have to take these phenomena into account in order to design a good income support system.",
https://catalog.upenn.edu/graduate/programs/social-policy-data-analytics-mssp/,Democratizing Data? Critical Data Studies in Algorithmic Governance,"With the advent of digital technologies nad the increasing power of computational analytics, the proliferation and ubiquity of data production has increased at exponential rates enabling new possibilites for social analysis. This course will examine the emergence of democratizing data -- the movement to make government and other data more widely or publicly available and its potential enabling for democratic possibilities. The types of data being made available, through various analytic systems, and the ways in which their accessibility and inaccessibility is contributing to reconfigured power relations, will be described. The paradigmatic tensions and shifts that have emerged in the debates on ""Big Data,"" such as deductive versus inductive reasoning and the challenges posed to statistical sampling theory, will be interrogated. The appropriation of machine learning and predictive analytic algorithms for social analysis will be critically explored. Issues related to the ethical and legal use of administrative data, particularly data related to patient, client, student, and taxpayer information will be considered, as well as from internet-based sources including social media. Potential solutions to data security challenges will be additionally considered. Methods for web-scraping of data, analysis of web traffic data, and the use of social networking data in the modeling of social phenomena and public opinion will be examined. Students will learn how to make results accessible to non-technical audiences via data visualization tools, such as web-based data dashboards and web-based maps. These topics will be discussed for the analysis of health, education, and social policy as well as their implications for questions pertaining to race, gender, class, sexuality, dis/abilities, age and youth culture. This course will develop students' knowledge of computational and data analytics and its applications for social policy analysis.",
https://catalog.upenn.edu/graduate/programs/social-policy-data-analytics-mssp/,Applied Linear Modeling,"This course deals with the underlying assumptions and applications of the general linear model with social science, education, and social policy related questions/data. The first half of the course begins by covering simple linear regression and the assumptions of the general linear model, assumption diagnostics, consequences of violation, and how to correct for violated assumptions. This will also include methods of incomplete case analysis (i.e. missing data analysis). Then various aspects of regression analysis with multiple independent variables will be covered including categorical explanatory variables (e.g. to estimate group differences), interaction effects, mediating effects (e.g. to estimate the indirect effect of social processes), and non-linear effects. The course will then cover some of the applications of the general(ized) linear model including logistic regression, some elements of path modeling (structural equation modeling), multilevel analysis (hierarchical linear modeling), and longitudinal modeling (growth modeling). The course will be taught using SAS, but students are welcome to use any statistical package of comfort. Introductory Graduate Statistics is a prerequisite.",
https://catalog.upenn.edu/graduate/programs/social-policy-data-analytics-mssp/,Community Mapping,"Geographic space is important to family and community well-being, as we know. community Mapping introduces students to geographic information systems (GIS), computer software for making maps and analyzing spatial data. Students will learn how maps have been used in social welfare history as well as how GIS can be used for needs assessments, asset mapping, program evaluation, and program planning. ",
https://mba-inside.wharton.upenn.edu/buan-major/,Core MBA,[Group of courses to choose from],
https://mba-inside.wharton.upenn.edu/buan-major/,Regression Analysis for Business,"This course provides the fundamental methods of statistical analysis, the art and science of extracting information from data. The course will begin with a focus on the basic elements of exploratory data analysis, probability theory and statistical inference. With this as a foundation, it will proceed to explore the use of the key statistical methodology known as regression analysis for solving business problems, such as the prediction of future sales and the response of the market to price changes. The use of regression diagnostics and various graphical displays supplement the basic numerical summaries and provides insight into the validity of the models. Speci_x001E_c important topics covered include least squares estimation, residuals and outliers, tests and con_x001E_dence intervals, correlation and autocorrelation, collinearity, and randomization. The presentation relies upon computer software for most of the needed calculations, and the resulting style focuses on construction of models, interpretation of results, and critical evaluation of assumptions",
